,precision,recall,f1-score,support
tomato_Early blight,0.9680851063829787,0.9027777777777778,0.9342915811088296,504.0
tomato_Late blight,0.903107861060329,0.9667318982387475,0.9338374291115312,511.0
tomato_healthy,0.985655737704918,0.9816326530612245,0.983640081799591,490.0
accuracy,0.9501661129568106,0.9501661129568106,0.9501661129568106,0.9501661129568106
macro avg,0.9522829017160753,0.9503807763592499,0.9505896973399839,1505.0
weighted avg,0.9517437356108035,0.9501661129568106,0.9502043343765065,1505.0
