Threshold,Disease,Affected Region %_mean,Affected Region %_std,Weighted Activation_mean,Health Score_mean
0.4,tomato_Early blight,61.126333333333335,15.2192807576971,0.4703566666666666,37.73333333333333
0.4,tomato_Late blight,38.99766666666667,15.614538248460752,0.3339433333333333,53.4
0.4,tomato_healthy,58.395,23.386612107401724,0.4687933333333333,97.63333333333334
0.5,tomato_Early blight,47.242,15.144968300646465,0.4703566666666666,43.766666666666666
0.5,tomato_Late blight,30.678,14.152479592661129,0.3339433333333333,55.93333333333333
0.5,tomato_healthy,46.468,23.61414821377365,0.4687933333333333,97.63333333333334
0.6,tomato_Early blight,33.928000000000004,12.730936905144045,0.4703566666666666,49.46666666666667
0.6,tomato_Late blight,22.669666666666668,12.068702322417538,0.3339433333333333,58.36666666666667
0.6,tomato_healthy,35.56466666666667,22.28286487699544,0.4687933333333333,97.63333333333334
0.7,tomato_Early blight,21.63133333333333,10.143173254862647,0.4703566666666666,54.43333333333333
0.7,tomato_Late blight,15.591,9.637717339559268,0.3339433333333333,60.3
0.7,tomato_healthy,24.901,17.34518821281369,0.4687933333333333,97.63333333333334
0.8,tomato_Early blight,11.877,7.523835755966407,0.4703566666666666,58.06666666666667
0.8,tomato_Late blight,8.892,6.183506091709371,0.3339433333333333,62.1
0.8,tomato_healthy,12.894666666666668,8.961983206216454,0.4687933333333333,97.63333333333334
